Data, Label, X, Y
2025-02-23,Kauan,"[0, 20, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300]","[0.0038469529151916506, 0.0033367204666137694, 0.0034409403800964356, 0.0033802390098571777, 0.0033160686492919923, 0.0032907700538635253, 0.003302664756774902, 0.0032525753974914553, 0.0032285308837890626, 0.0033921074867248537, 0.0032758617401123045, 0.0035840559005737307, 0.003718411922454834, 0.003270554542541504, 0.0032862734794616697, 0.0034917283058166506]"
2025-02-23,Kauan,"[0, 20, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300]","[0.004955031871795654, 0.0037104105949401856, 0.003543307781219482, 0.0038907480239868163, 0.0034730052947998047, 0.0034850573539733885, 0.003516857624053955, 0.0034636569023132322, 0.003518667221069336, 0.003536806106567383, 0.0038219428062438963, 0.00352689266204834, 0.0034955930709838867, 0.003608689308166504, 0.0036755132675170897, 0.003452877998352051]"
2025-02-23,Teste 2,"[0, 20, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 400, 420, 440, 460, 480, 500, 520, 540, 560, 580, 600, 620, 640, 660, 680, 700, 720, 740, 760, 780, 800, 820, 840, 860, 880, 900, 920, 940, 960, 980, 1000]","[0.004700396060943603, 0.00391998291015625, 0.0038104343414306643, 0.0033386802673339845, 0.003578166961669922, 0.003480062484741211, 0.003345751762390137, 0.003311777114868164, 0.0036989140510559084, 0.003323335647583008, 0.0034830021858215333, 0.0034057950973510743, 0.00332899808883667, 0.003343355655670166, 0.0033026719093322754, 0.003363142013549805, 0.0032973790168762205, 0.003348379135131836, 0.0033273577690124513, 0.0033530044555664064, 0.0032902288436889647, 0.003462393283843994, 0.0035919547080993652, 0.0034434866905212404, 0.0032891392707824706, 0.0033405423164367676, 0.003310363292694092, 0.003308272361755371, 0.003454411029815674, 0.0035379505157470703, 0.003292863368988037, 0.0033159303665161134, 0.003339066505432129, 0.003355884552001953, 0.005168790817260742, 0.0036814212799072266, 0.003356788158416748, 0.0033237218856811525, 0.00340747594833374, 0.0033531451225280763, 0.0033261585235595703, 0.0033409905433654783, 0.0033123278617858886, 0.003298149108886719, 0.003415372371673584, 0.003720254898071289, 0.0032828450202941895, 0.0033539152145385743, 0.0034250950813293456, 0.0035523247718811037, 0.00508939266204834]"
2025-02-23,testante,"[0, 20, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340, 360, 380, 400, 420, 440, 460, 480, 500, 520, 540, 560, 580, 600, 620, 640, 660, 680, 700, 720, 740, 760, 780, 800, 820, 840, 860, 880, 900, 920, 940, 960, 980, 1000, 1020, 1040, 1060, 1080, 1100, 1120, 1140, 1160, 1180, 1200, 1220, 1240, 1260, 1280, 1300, 1320, 1340, 1360, 1380, 1400, 1420, 1440, 1460, 1480, 1500, 1520, 1540, 1560, 1580, 1600, 1620, 1640, 1660, 1680, 1700, 1720, 1740, 1760, 1780, 1800, 1820, 1840, 1860, 1880, 1900, 1920, 1940, 1960, 1980, 2000]","[0.001306767463684082, 0.0017611956596374511, 0.0013427519798278808, 0.0015699291229248047, 0.0010359549522399902, 0.0020415043830871583, 0.0025031423568725587, 0.0015195369720458984, 0.0015707850456237794, 0.0014819002151489258, 0.001521461009979248, 0.0018506693840026857, 0.0011637139320373536, 0.0030511713027954104, 0.004028549194335937, 0.002135024070739746, 0.0021480464935302733, 0.0014613986015319825, 0.0037069034576416014, 0.0009823322296142578, 0.002582685947418213, 0.0019135355949401855, 0.001942927837371826, 0.003443090915679932, 0.001016535758972168, 0.000987534523010254, 0.06795241355895996, 0.0011807703971862793, 0.0025441861152648926, 0.0006877326965332031, 0.0017412924766540528, 0.0017231655120849608, 0.0008763861656188965, 0.0012133502960205078, 0.0014599251747131347, 0.000673835277557373, 0.0012000250816345216, 0.0008142375946044922, 0.000681142807006836, 0.0016201543807983399, 0.0014412045478820802, 0.0015531015396118165, 0.0009595108032226563, 0.0010241007804870606, 0.001429729461669922, 0.0018492698669433593, 0.0011456847190856934, 0.0020242738723754883, 0.0014272165298461915, 0.0013006281852722167, 0.0019443821907043457, 0.0016489267349243165, 0.0020932912826538085, 0.0046520519256591794, 0.0016241669654846191, 0.0015523362159729005, 0.0011292338371276856, 0.0024774909019470216, 0.0017413663864135741, 0.001834859848022461, 0.0011371278762817383, 0.002003176212310791, 0.000893545150756836, 0.0023563480377197265, 0.0026465892791748048, 0.0021954965591430664, 0.0009106135368347168, 0.00358292818069458, 0.001420755386352539, 0.0010492563247680663, 0.0014421391487121583, 0.0018914341926574707, 0.07602948665618897, 0.0014246892929077148, 0.002230081558227539, 0.0010615181922912597, 0.0012278795242309571, 0.0027492380142211913, 0.0017076921463012695, 0.0025425171852111817, 0.0017767691612243653, 0.0010126399993896484, 0.0016402649879455567, 0.0017664384841918944, 0.0014331746101379395, 0.0019208741188049315, 0.0006498670578002929, 0.0021224093437194826, 0.09219899892807007, 0.0013915085792541504, 0.0015790534019470214, 0.0006780433654785156, 0.0032266783714294434, 0.0015951204299926758, 0.08972854614257812, 0.0023237895965576173, 0.00198988676071167, 0.001437530517578125, 0.003727288246154785, 0.0011620020866394043, 0.0006870293617248535]"
